record_id,title,url,source_name,source_reliability_label,source_reliability_score,query_text,fetched_at,published_at,company_name,district,legal_sections,legal_section_meanings,violation_type,cin_candidates,subject_label,snippet,has_company_name,has_district,has_legal_section,record_quality_score,usable_for_analytics,source_provider,company_status,incorporation_date,last_agm_date,last_balance_sheet_date,registered_address,authorized_capital,paid_up_capital,nic_code,industry_description,roc_office,listed_status,profile_last_updated
ec28037bf3fac74d,Silverton Spinners Limited,https://ibbi.gov.in/uploads/auction_notice_liquidation/155b7b345137d9ab3ef5f2663c9a14d8.pdf,IBBI Liquidation Auctions - West Bengal - Page 4,regulated,0.85,ibbi liquidation auction west bengal,2026-04-05T18:59:41.864902+00:00,17-07-2025,Silverton Spinners Limited,,,,insolvency,,Silverton Spinners Limited,Option 1- Entire Cor... Option 1- Entire Corporate Debtor as a going concern under Regulation 32 (e) read with Regulation 32A Option 2- Plant & Machinery Option 3- Land & Building,True,False,False,79.6,True,,,,,,,,,,,,,
d142d7d5087bb34d,REACON ENGINEERS (INDIA) PVT LTD,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-07-08-125426-6ic4q-3a3f56f916203d56ccfd8ceb4eed77e0.pdf,IBBI Liquidation Auctions - West Bengal - Page 4,regulated,0.85,ibbi liquidation auction west bengal,2026-04-05T18:59:41.865293+00:00,08-07-2025,,,,,liquidation,,REACON ENGINEERS (INDIA) PVT LTD,"Sale of Assets of Co... Sale of Assets of Corporate Debtor An asset on a standalone basis (comprising of Land, Building, Plant & Machinery under Regulation 32(a) of the IBBI Liquidation Process Regulation 2016, As is where is, As is what is, whatever there is basis and Without recourse basis. (Auction of Block B, C & D would get activated only IF the auction under Block A fail.) (If the auction under Block A is successful, then the Auction under Block B, C & D shall be cancelled)",False,False,False,61.6,True,,,,,,,,,,,,,
9e68e1640b861be3,REACON ENGINEERS (INDIA) PVT LTD,https://ibbi.gov.in/uploads/auction_notice_liquidation/3a3f56f916203d56ccfd8ceb4eed77e0.pdf,IBBI Liquidation Auctions - West Bengal - Page 4,regulated,0.85,ibbi liquidation auction west bengal,2026-04-05T18:59:41.865670+00:00,08-07-2025,,,,,liquidation,,REACON ENGINEERS (INDIA) PVT LTD,"Sale of the assets o... Sale of the assets of the Corporate debtor as a “Going Concern (As advised by the SCC)” on “As is where is basis”, “As is what is basis”, “Whatever there is basis” and “Without any recourse basis” as per Regulation 32(e) of the IBBI Liquidation Regulation, 2016.",False,False,False,61.6,True,,,,,,,,,,,,,
8e89cd021ab165a6,REACON ENGINEERS (INDIA) PVT LTD,https://ibbi.gov.in/uploads/auction_notice_liquidation/6705def951b8a545401744a7ac4c7fa7.pdf,IBBI Liquidation Auctions - West Bengal - Page 4,regulated,0.85,ibbi liquidation auction west bengal,2026-04-05T18:59:41.867210+00:00,13-06-2025,,,,,liquidation,,REACON ENGINEERS (INDIA) PVT LTD,"Block-A: Sale of the... Block-A: Sale of the assets of the Corporate debtor as a “Going Concern (As advised by the SCC)” on “As is where is basis”, “As is what is basis”, “Whatever there is basis” and “Without any recourse basis” as per Regulation 32(e) of the IBBI Liquidation Regulation, 2016.",False,False,False,61.6,True,,,,,,,,,,,,,
174a258308b4f65a,E C BOSE AND CO PVT LTD,https://ibbi.gov.in/uploads/auction_notice_liquidation/2026-03-27-150514-yk8ex-8b7da754a03550a822633bf839a3e487.pdf,IBBI Liquidation Auctions - Kolkata - Page 1,regulated,0.85,ibbi liquidation auction kolkata,2026-04-05T18:59:43.093730+00:00,27-03-2026,,,,,insolvency,,E C BOSE AND CO PVT LTD,"BLOCK 2 comprising o... BLOCK 2 comprising of the remaining assets of the Corporate Debtor, excluding the Land & Building and the Cash & Bank balance, consist of other Tangible & Intangible Assets, Investments, Sundry Debtors and Loans & Advances",False,False,False,61.6,True,,,,,,,,,,,,,
0db5e2e44854e1d2,E C BOSE AND CO PVT LTD,https://ibbi.gov.in/uploads/auction_notice_liquidation/2026-03-27-145958-6kyc4-8b7da754a03550a822633bf839a3e487.pdf,IBBI Liquidation Auctions - Kolkata - Page 1,regulated,0.85,ibbi liquidation auction kolkata,2026-04-05T18:59:43.094132+00:00,27-03-2026,,Kolkata,,,insolvency,,E C BOSE AND CO PVT LTD,"Block 1 comprises of... Block 1 comprises of Land & Building situated at 13A, St George Terrace, PS – Hastings, Ward No – 75, Kolkata – 700 022 admeasuring 06 Cottahs 12 Chittacks 28 Sq Ft or 11.20 Decimal (More or Less). The asset consists of freehold land fully owned by the Corporate Debtor, with no known government acquisition notices and land use consistent with applicable industrial zoning norms.",False,True,False,71.6,True,,,,,,,,,,,,,
fb93ab229e0d4550,Raghav Sarees Private Limited,https://ibbi.gov.in/uploads/auction_notice_liquidation/c854a076695059930e51d04344b81702.pdf,IBBI Liquidation Auctions - Kolkata - Page 1,regulated,0.85,ibbi liquidation auction kolkata,2026-04-05T18:59:43.098362+00:00,19-01-2026,Raghav Sarees Private Limited,,,,insolvency,,Raghav Sarees Private Limited,Sale of Company Land... Sale of Company Land and Building of Corporate Debtor on a standalone basis,True,False,False,79.6,True,,,,,,,,,,,,,
29e7ffbbded9ae07,E C BOSE AND CO PVT LTD,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-12-31-172541-m5ivb-a4892f42b8a9016ee36a17c9430e5aac.pdf,IBBI Liquidation Auctions - Kolkata - Page 1,regulated,0.85,ibbi liquidation auction kolkata,2026-04-05T18:59:43.099139+00:00,31-12-2025,,Kolkata,,,insolvency,,E C BOSE AND CO PVT LTD,"Block 1 comprises of... Block 1 comprises of Land & Building situated at 13A, St George Terrace, PS – Hastings, Ward No – 75, Kolkata – 700 022 admeasuring 06 Cottahs 12 Chittacks 28 Sq Ft or 11.20 Decimal (More or Less). The asset consists of freehold land fully owned by the Corporate Debtor",False,True,False,71.6,True,,,,,,,,,,,,,
a8b9d6572a009f22,HINDUSTHAN SMALL TOOLS PVT LTD,https://ibbi.gov.in/uploads/auction_notice_liquidation/437175ba4191210ee004e1d937494d09.pdf,IBBI Liquidation Auctions - Kolkata - Page 2,regulated,0.85,ibbi liquidation auction kolkata,2026-04-05T18:59:44.321142+00:00,26-09-2025,Hindusthan Small Tools Private Limited,,,,liquidation,,Hindusthan Small Tools Private Limited,"Sale of Corporate De... Sale of Corporate Debtor, Hindusthan Small Tools Private Limited, as a going concern in accordance with clause (e) of Regulation 32A of IBBI (Liquidation Process) Regulations, 2016 excluding Certain Assets as specified in E- auction Process Information Document",True,False,False,79.6,True,,,,,,,,,,,,,
e889e1d44ba597ad,Dev R Nil Design Private Limited,https://ibbi.gov.in/uploads/auction_notice_liquidation/89c55c2b48a18097d014e285890bc701.pdf,IBBI Liquidation Auctions - Kolkata - Page 2,regulated,0.85,ibbi liquidation auction kolkata,2026-04-05T18:59:44.322193+00:00,23-09-2025,Dev R Nil Design Private Limited,,,,insolvency,,Dev R Nil Design Private Limited,Sale of Assets of th... Sale of Assets of the Corporate Debtor being Readymade Designer Garments (356 pieces),True,False,False,79.6,True,,,,,,,,,,,,,
2d706bfe497367f1,GEMUS ENGINEERING LTD,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-13-140656-w0roq-970b0a27d10c6d6eedb80fee108082c3.pdf,IBBI Liquidation Auctions - Kolkata - Page 3,regulated,0.85,ibbi liquidation auction kolkata,2026-04-05T18:59:45.657441+00:00,13-08-2025,,,,,liquidation,,GEMUS ENGINEERING LTD,"Block A - Sale of th... Block A - Sale of the Corporate Debtor as a Going Concern (without Liabilities), as per Regulation 32(e) of the IBBI Liquidation Process Regulation 2016, As is where is, As is what is, Whatever there is basis and Without recourse basis.",False,False,False,61.6,True,,,,,,,,,,,,,
f45a81fb30bc222b,ULTRAMINE PIPETECH PRIVATE LIMITED,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-07-25-172115-ypzao-30cc543a76a53d90e3c96ede242364eb.pdf,IBBI Liquidation Auctions - Kolkata - Page 3,regulated,0.85,ibbi liquidation auction kolkata,2026-04-05T18:59:45.658213+00:00,25-07-2025,,Kolkata,,,insolvency,,ULTRAMINE PIPETECH PRIVATE LIMITED,"Financial Assets bei... Financial Assets being Trade Receivables as per available records and Assignment of Not Readily Realisable Asset – In terms of IA(I.B.C)/62(KB)2025 (filed on 08.01.2025), Application filed under Section 43 of the Insolvency and Bankruptcy Code, 2016, pending before Hon’ble NCLT, Kolkata, involving an amount to the extent of Rs. 1.40 Crores.",False,True,False,71.6,True,,,,,,,,,,,,,
f18de0ea1f90b6f7,Dev R Nil Design Private Limited,https://ibbi.gov.in/uploads/auction_notice_liquidation/fdbfbed4cae2da4910b082ccbc605cb1.pdf,IBBI Liquidation Auctions - Kolkata - Page 3,regulated,0.85,ibbi liquidation auction kolkata,2026-04-05T18:59:45.661384+00:00,10-07-2025,Dev R Nil Design Private Limited,,,,insolvency,,Dev R Nil Design Private Limited,"Block 1: Sale of the... Block 1: Sale of the Corporate Debtor as a Going concern in its totality Block 2: Sale of Assets of the Corporate Debtor being Machinery, Furniture and Stock of Readymade Garments",True,False,False,79.6,True,,,,,,,,,,,,,
dc06267742f461e4,REACON ENGINEERS (INDIA) PVT LTD,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-07-08-125755-amlhp-3a3f56f916203d56ccfd8ceb4eed77e0.pdf,IBBI Liquidation Auctions - Kolkata - Page 3,regulated,0.85,ibbi liquidation auction kolkata,2026-04-05T18:59:45.661771+00:00,08-07-2025,,,,,liquidation,,REACON ENGINEERS (INDIA) PVT LTD,"Sale of Assets of Co... Sale of Assets of Corporate Debtor An asset on a standalone basis (comprising of Land, Building, Plant & Machinery under Regulation 32(a) of the IBBI Liquidation Process Regulation 2016, As is where is, As is what is, whatever there is basis and Without recourse basis. (Auction of Block B, C & D would get activated only IF the auction under Block A fail.) (If the auction under Block A is successful, then the Auction under Block B, C & D shall be cancelled)",False,False,False,61.6,True,,,,,,,,,,,,,
75ce5f2d453fbcbe,Dev R Nil Design Private Limited,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-05-14-124645-tckyq-099591965db3f471b52454b5649167a3.pdf,IBBI Liquidation Auctions - Kolkata - Page 4,regulated,0.85,ibbi liquidation auction kolkata,2026-04-05T18:59:46.869502+00:00,14-05-2025,Dev R Nil Design Private Limited,,,,insolvency,,Dev R Nil Design Private Limited,"Block 2: Sale of Ass... Block 2: Sale of Assets of the Corporate Debtor being Machinery, Furniture and Stock of Readymade Garments In case, where bids are received for both blocks, it is to be noted that preference will be given to Block 1 bidder.",True,False,False,79.6,True,,,,,,,,,,,,,
48018d4a69afa3c9,Dev R Nil Design Private Limited,https://ibbi.gov.in/uploads/auction_notice_liquidation/099591965db3f471b52454b5649167a3.pdf,IBBI Liquidation Auctions - Kolkata - Page 4,regulated,0.85,ibbi liquidation auction kolkata,2026-04-05T18:59:46.869926+00:00,14-05-2025,Dev R Nil Design Private Limited,,,,insolvency,,Dev R Nil Design Private Limited,Sale as the Corporat... Sale as the Corporate Debtor as a Going concern in its totality,True,False,False,79.6,True,,,,,,,,,,,,,
caca192d2afab4e4,GEMUS ENGINEERING LTD,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-05-08-154907-o09ce-970b0a27d10c6d6eedb80fee108082c3.pdf,IBBI Liquidation Auctions - Kolkata - Page 4,regulated,0.85,ibbi liquidation auction kolkata,2026-04-05T18:59:46.870317+00:00,08-05-2025,,,,,liquidation,,GEMUS ENGINEERING LTD,"Block B - Sale of As... Block B - Sale of Assets of Corporate Debtor on Standalone basis, comprising of Land, as per Regulation 32(a) of the IBBI Liquidation Process Regulation 2016, As is where is, As is what is, Whatever there is basis and Without recourse basis.",False,False,False,61.6,True,,,,,,,,,,,,,
4b34ea91e1d55e9e,REACON ENGINEERS (INDIA) PVT LTD,https://ibbi.gov.in/uploads/auction_notice_liquidation/9878ddcaec187da2445601e3ee17959d.pdf,IBBI Liquidation Auctions - Kolkata - Page 4,regulated,0.85,ibbi liquidation auction kolkata,2026-04-05T18:59:46.870746+00:00,02-05-2025,,Kolkata,,,liquidation,,REACON ENGINEERS (INDIA) PVT LTD,"Sale of the assets o... Sale of the assets of the Corporate debtor as a “Going Concern (As advised by the SCC)” on “As is where is basis”, “As is what is basis”, “Whatever there is basis” and “Without any recourse basis” as per Regulation 32(e) & read with Regulation 32A of the IBBI Liquidation Regulation, 2016. Major assets of the CD is the EPC contractor and major fixed asset plant & machinery are located at 1)ALL THAT ‘piece & and parcel’ Leasehold Land area measuring about 5 Acers of land (more or less) at Plot No. 3 (P), Khaitan No. - 27, JL No. 48, Mouza-Hetedoba, PS- Faridpur, Post Office – Durgapur 4, Dist: Sub Registry Office – Durgapur, Dist; Burdwan, West Bengal 2) ALL THAT ‘piece & and parcel’ Land area measuring about 1.83 Hectare of land (more or less) situated at bearing Survey No. 33, 34,35,36,38 & 39, at Village: Dundas Point under Ferrar Gunj Tehasil in the District of South Andaman. 3) Plant Machinery at the Delhi: -ESIC Hospital, Maa Anand Mai Marg, Okhla Industrial Area, Phase-1, New Delhi -110020. Kolkata Office 124 B Lenin Sarani, Kolkata -700013. 4) Securities & Financial Assets -Details in Tender document.",False,True,False,71.6,True,,,,,,,,,,,,,
ce07b1ee6186da13,GEMUS ENGINEERING LTD,https://ibbi.gov.in/uploads/auction_notice_liquidation/970b0a27d10c6d6eedb80fee108082c3.pdf,IBBI Liquidation Auctions - Kolkata - Page 4,regulated,0.85,ibbi liquidation auction kolkata,2026-04-05T18:59:46.871128+00:00,21-04-2025,,,,,insolvency,,GEMUS ENGINEERING LTD,Block A- Sale of Cor... Block A- Sale of Corporate Debtor as going concern . Immovable property – Land in the name of GEMUS ENGINEERING LIMITED - The said Land is encumbered and not in custody of Liquidator. Details of the Land can be viewed at https://ibbi.baanknet.com/eauction-ibbi/asset-listing with Asset ID 569),False,False,False,61.6,True,,,,,,,,,,,,,
d65b25bcaf4a556a,HINDUSTHAN SMALL TOOLS PVT LTD,https://ibbi.gov.in/uploads/auction_notice_liquidation/07242c97579ac6463e3b68062b4eca55.pdf,IBBI Liquidation Auctions - Kolkata - Page 4,regulated,0.85,ibbi liquidation auction kolkata,2026-04-05T18:59:46.872225+00:00,05-04-2025,,,,,liquidation,,HINDUSTHAN SMALL TOOLS PVT LTD,"Sale of Corporate De... Sale of Corporate Debtor as going concern in accordance with clause(e) of Regulation 32, Regulation 32A of IBBI (Liquidation Process) Regulations, 2016 excluding Certain Assets as specified in E-auction Process Information Document",False,False,False,61.6,True,,,,,,,,,,,,,
e72c9fd90eeaae68,GEMUS ENGINEERING LTD,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-03-23-082235-6slk4-e65cfc1416d4c984c9a24a87eac14674.pdf,IBBI Liquidation Auctions - Kolkata - Page 4,regulated,0.85,ibbi liquidation auction kolkata,2026-04-05T18:59:46.873869+00:00,23-03-2025,,,,,liquidation,,GEMUS ENGINEERING LTD,"Block A-Sale of the ... Block A-Sale of the Corporate Debtor as a Going Concern (without Liabilities), as per Regulation 32(e) of the IBBI Liquidation Process Regulation 2016. As is where is, As is what is, Whatever there is basis and Without recourse basis. Block B- Sale of Assets of Corporate Debtor on Standalone basis, comprising of Land(encumbered) (Asset ID 569- eBkray platform),As is where is, As is what is, Whatever there is basis and Without recourse basis.",False,False,False,61.6,True,,,,,,,,,,,,,
5addb9cf1a59b9b5,TIRUPATI JUTE INDUSTRIES LIMITED,https://ibbi.gov.in/uploads/auction_notice_liquidation/ed0683e81ee670e7c67d8c3294f02ecf.pdf,IBBI Liquidation Auctions - Howrah - Page 2,regulated,0.85,ibbi liquidation auction howrah,2026-04-05T18:59:51.185114+00:00,26-04-2023,,,,,insolvency,,TIRUPATI JUTE INDUSTRIES LIMITED,"Sale of the Corporat... Sale of the Corporate Debtor as a going concern in its totality on “AS IS WHERE IS, AS IS WHAT IS, WHATEVER THERE IS AND WITHOUT RECOURSE BASIS",False,False,False,61.6,True,,,,,,,,,,,,,
